gamma,repetition,node,sim_time,num_nodes,offered,sent,load,losses,perc_success
0.003,34,2,3,10,2995121.0,0.0,5826538,2590285,0
0.003,34,3,3,10,2586100.0,0.0,6262129,3434961,0
0.003,34,4,3,10,0.0,0.0,5911513,5670033,0
0.003,34,5,3,10,2983365.0,0.0,5953456,2735063,0
0.003,34,6,3,10,2988729.0,0.0,6200773,2971279,0
0.003,34,7,3,10,0.0,0.0,5806424,5565422,0
0.003,34,8,3,10,12109.0,4546.5,5983295,5729927,0.37546453051449336
0.003,34,9,3,10,2983136.0,0.0,6127472,2903612,0
0.003,35,0,3,10,1530583.0,0.0,6297396,4525735,0
0.003,35,1,3,10,2983278.0,0.0,6147381,2916919,0
0.003,35,2,3,10,2977632.0,0.0,6008487,2783660,0
0.003,35,3,3,10,1452190.0,0.0,6099332,4406504,0
0.003,35,4,3,10,24215.0,4566.0,6080176,5808786,0.18856080941565145
0.003,35,5,3,10,2590510.0,0.0,6350854,3512949,0
0.003,35,6,3,10,2995748.0,0.0,6213306,2982762,0
0.003,35,7,3,10,391823.0,0.0,5688252,5055016,0
0.003,35,8,3,10,0.0,0.0,5869513,5628749,0
0.003,35,9,3,10,2989557.0,0.0,5803632,2566799,0
0.003,36,0,3,10,18133.0,0.0,5967188,5707923,0
0.003,36,1,3,10,2978082.0,0.0,5707980,2482905,0
0.003,36,2,3,10,2984225.0,0.0,5889789,2658129,0
0.003,36,3,3,10,2977327.0,1996.6666666666667,6123884,2899656,0.0006706239075071924
0.003,36,4,3,10,0.0,0.0,5954934,5707858,0
0.003,36,5,3,10,1656883.0,0.0,5851343,3947672,0
0.003,36,6,3,10,2983863.0,0.0,5901742,2670747,0
0.003,36,7,3,10,1319969.0,0.0,6063919,4496885,0
0.003,36,8,3,10,12115.0,1520.5,5852807,5599679,0.12550557160544779
0.003,36,9,3,10,2995430.0,0.0,6267483,3031126,0
0.003,37,0,3,10,42212.0,6034.0,6274772,5985501,0.1429451340850943
0.003,37,1,3,10,2983484.0,0.0,6064384,2833528,0
0.003,37,2,3,10,2977455.0,0.0,6088149,2869600,0
0.003,37,3,3,10,2977373.0,0.0,5887222,2668786,0
0.003,37,4,3,10,0.0,0.0,6013774,5772597,0
0.003,37,5,3,10,24080.0,0.0,6031795,5760517,0
0.003,37,6,3,10,2983102.0,0.0,5954105,2735958,0
0.003,37,7,3,10,2964692.0,4022.0000000000005,5705343,2505634,0.0013566333366164176
0.003,37,8,3,10,5997.0,1499.25,6140981,5894018,0.25
0.003,37,9,3,10,2988966.0,0.0,6194374,2970466,0
0.003,38,0,3,10,0.0,0.0,5730455,5489420,0
0.003,38,1,3,10,2989416.0,0.0,6285196,3049075,0
